"Sex","Model_name","Parameter","rhat","ess_bulk"
"Female","m2_Humerus.Eth","z[3]",1.00010522032307,17333.4504200532
"Female","m2_Humerus.Eth","z[4]",1.00044455293502,14448.0046947373
"Female","m2_Humerus.Eth","z[5]",1.00031444574622,18797.5670615181
"Female","m2_Humerus.Eth","a",1.00013848712589,8437.42294932637
"Female","m2_Humerus.Eth","sigma_b",1.00096529368494,7103.48857577906
"Female","m2_Humerus.Eth","sigma_y",1.00057304361861,7469.08268054658
"Female","m2_Humerus.Eth","sigma",1.00029475676055,16245.5501445578
"Female","m2_Humerus.Eth","y[1]",1.00068397370594,9369.55201583223
"Female","m2_Humerus.Eth","y[2]",1.00015484732506,15251.4748485691
"Female","m2_Humerus.Eth","y[3]",1.00028810561336,15652.6209033883
"Female","m2_Humerus.Eth","y[4]",0.99994818626355,12506.9424250857
"Female","m2_Humerus.Eth","y[5]",1.00013671486605,15784.320857234
"Female","m2_Humerus.Eth","b[1]",1.00029506137504,11512.5688050943
"Female","m2_Humerus.Eth","b[2]",1.00021976797714,16632.6024729571
"Female","m2_Humerus.Eth","b[3]",1.00022236581476,13649.7568790969
"Female","m2_Humerus.Eth","b[4]",1.00071818711511,13176.5185948408
"Female","m2_Humerus.Eth","b[5]",1.0006563783581,13912.6089041366
"Female","m2_ForearmL.Eth","x[1]",1.00070973576833,14189.1125829491
"Female","m2_ForearmL.Eth","x[2]",1.00006555799335,17689.6485968307
"Female","m2_ForearmL.Eth","x[3]",1.00009757742977,15175.4177652765
"Female","m2_ForearmL.Eth","x[4]",1.00052785942055,15037.5381680809
"Female","m2_ForearmL.Eth","x[5]",1.00030275460086,16809.276135171
"Female","m2_ForearmL.Eth","z[1]",1.00020662739174,6596.9649695082
"Female","m2_ForearmL.Eth","z[2]",1.00040520531965,10664.9845682222
"Female","m2_ForearmL.Eth","z[3]",1.000062233295,13241.2302069083
"Female","m2_ForearmL.Eth","z[4]",1.00026391534849,8836.68305322915
"Female","m2_ForearmL.Eth","z[5]",1.00023003275964,16202.6052940609
"Female","m2_ForearmL.Eth","a",1.00043311645692,7461.99775009792
"Female","m2_ForearmL.Eth","sigma_b",1.00071907825581,5897.88050913435
"Female","m2_ForearmL.Eth","sigma_y",1.00036807483672,6033.98033065768
"Female","m2_ForearmL.Eth","sigma",1.00018559410008,17821.2079339202
"Female","m2_ForearmL.Eth","y[1]",1.00018802914231,7699.16788395014
"Female","m2_ForearmL.Eth","y[2]",1.00018439414993,9044.21016784947
"Female","m2_ForearmL.Eth","y[3]",1.0002405402666,13181.8341079364
"Female","m2_ForearmL.Eth","y[4]",1.00037855324373,8239.38729774006
"Female","m2_ForearmL.Eth","y[5]",1.00013530724235,16823.9830630947
"Female","m2_ForearmL.Eth","b[1]",1.00000708861081,11557.6889336605
"Female","m2_ForearmL.Eth","b[2]",1.00030487297737,16567.3571703169
"Female","m2_ForearmL.Eth","b[3]",1.00052681803752,12414.9792666408
"Female","m2_ForearmL.Eth","b[4]",1.00039960810905,13651.2636610916
"Female","m2_ForearmL.Eth","b[5]",1.00031563610011,15198.0059408503
"Female","m2_FootLength.Eth","x[1]",1.00060071140204,14882.6978528905
"Female","m2_FootLength.Eth","x[2]",1.0002845563215,17943.0092515351
"Female","m2_FootLength.Eth","x[3]",1.00016477066989,15452.3540073372
"Female","m2_FootLength.Eth","x[4]",1.0005689060256,14104.9049013605
"Female","m2_FootLength.Eth","x[5]",0.999942015939472,15333.0869899579
"Female","m2_FootLength.Eth","z[1]",1.00027847465041,9864.54817337723
"Female","m2_FootLength.Eth","z[2]",1.00059526638637,13460.3302073208
"Female","m2_FootLength.Eth","z[3]",1.00023448203427,15084.0490035877
"Female","m2_FootLength.Eth","z[4]",1.00012654818589,12368.4218039388
"Female","m2_FootLength.Eth","z[5]",0.999980922077587,16515.2051410977
"Female","m2_FootLength.Eth","a",1.00013513540486,7919.8595932516
"Female","m2_FootLength.Eth","sigma_b",1.00041979308207,5315.05348286483
"Female","m2_FootLength.Eth","sigma_y",1.00122720927576,5465.46800093886
"Female","m2_FootLength.Eth","sigma",1.00078595984895,16041.1531552289
"Female","m2_FootLength.Eth","y[1]",1.00037433327902,7530.66121681992
