"Sex","Model_name","Parameter","rhat","ess_bulk"
"Female","m2_Finger.Eth","z[3]",1.00016202109161,16518.5202153208
"Female","m2_Finger.Eth","z[4]",1.00067285417543,12964.9790601854
"Female","m2_Finger.Eth","z[5]",1.00074525729276,16111.5170320883
"Female","m2_Finger.Eth","a",1.00021020178557,7934.83937034138
"Female","m2_Finger.Eth","sigma_b",1.00042934034731,5578.493055668
"Female","m2_Finger.Eth","sigma_y",1.00062178857293,5381.43559834592
"Female","m2_Finger.Eth","sigma",1.00008898216722,15275.0564025643
"Female","m2_Finger.Eth","y[1]",1.00001240361458,7639.91069211454
"Female","m2_Finger.Eth","y[2]",1.00025265128905,11715.372188233
"Female","m2_Finger.Eth","y[3]",1.00007082311507,15133.1262921622
"Female","m2_Finger.Eth","y[4]",1.00008125312271,11303.1195004899
"Female","m2_Finger.Eth","y[5]",1.00064924028471,13329.4646324132
"Female","m2_Finger.Eth","b[1]",0.999872612249596,10192.615553822
"Female","m2_Finger.Eth","b[2]",0.999991076143389,14149.9788901309
"Female","m2_Finger.Eth","b[3]",1.00003640830806,12727.9493133631
"Female","m2_Finger.Eth","b[4]",1.00023082683669,9725.14026421841
"Female","m2_Finger.Eth","b[5]",1.00005024592815,14395.3741017706
"Female","m2_Biiliac.Eth","x[1]",1.00062920472701,12757.3286279735
"Female","m2_Biiliac.Eth","x[2]",1.00010030230856,15316.5647692065
"Female","m2_Biiliac.Eth","x[3]",1.00007876825106,15884.9075292755
"Female","m2_Biiliac.Eth","x[4]",1.00017443831614,14673.8669060994
"Female","m2_Biiliac.Eth","x[5]",1.00005609732809,17326.2408256793
"Female","m2_Biiliac.Eth","z[1]",1.00034524417194,11003.8516256729
"Female","m2_Biiliac.Eth","z[2]",1.00003069360425,16992.7221189379
"Female","m2_Biiliac.Eth","z[3]",1.00017889637313,17584.317750395
"Female","m2_Biiliac.Eth","z[4]",1.00067296368624,14509.7034945443
"Female","m2_Biiliac.Eth","z[5]",0.999981387908106,17737.2190395524
"Female","m2_Biiliac.Eth","a",1.00029861266866,8181.30321956804
