"ID","Sport","Group","Model2_data","Cohort","Code","Age","Sex","Ethnicity","IAAF","Grade_IRCRA","Exp_yrs","Hrs_Sport","Hrs_Other","Hrs_Total","Other_List","Mass","Stature","SitHeight","ArmSpan","Tibia","TibiaHeight","ForearmL","ForeHand","Biacrom","Biiliac","ForearmC","Triceps","X2D","X4D","HandLength","HandBreadth","FootLength","FootBreadth","Leg","Arm","Humerus","Femur","Finger","PC1"
"AX-027","Control","ControlF","Yes",NA,"X/f",24,"Female","White",NA,NA,NA,NA,0,0,"NONE",66.2,176.5,88.5,171.5,40.85,48.35,27,45.25,37.85,28.2,23.65,19.55,6.51,6.77,16.9,6.9,21.9,7.6,88,66.83,21.58,39.65,6.64,-0.745472487136873
"AX-028","Control","ControlM","Yes",NA,"X/m",34,"Male","White",NA,NA,NA,NA,2.5,2.5,"Yoga, Powerlift",78.7,179,95,173.5,39,47.35,27.75,46.6,38.75,27.9,29.45,10.4,7.19,7.38,18.1,8.4,23.3,9.7,84,67.38,20.78,36.65,7.29,0.873346823208804
"AR-009","Run","RunM","No","Non-elite","Rn/m",22,"Male","White",122,NA,8,7,4,11,"Climb, Row",81.5,172.75,93.25,177.5,36.1,44.3,26.85,45,44.6,29.2,28.9,7.15,6.7,6.9,17.7,8.3,23.4,8.7,79.5,66.45,21.45,35.2,6.8,0.4466286178416
"AR-010","Run","RunF","No","Non-elite","Rn/f",20,"Female","White",200,NA,10,4,6,10,"Tennis, Gym, Swim",60.2,166,85.5,168,37.4,44.15,26.05,42.7,37.9,27.3,24.3,12.4,7.01,6.95,16.6,7.2,23.8,8.3,80.5,65.05,22.35,36.35,6.98,-1.74491436544462
"AR-011","Run","RunF","No","Non-elite","Rn/f",25,"Female","White",497,NA,8,10,4.5,14.5,"Gym, Walk",58.1,165,87.25,158,35.45,43.1,24.3,41.2,35.15,27.05,23.5,16.75,6.47,6.67,17.2,7.9,21.1,8.5,77.75,61.43,20.23,34.65,6.57,-3.54827859858887
"AC-009","Climb","ClimbF","No","Non-elite","Cn/f",23,"Female","Other",NA,15.5,1.5,6,2,8,"Run, Ski, Snowboard, Yoga",57.9,170.5,90,166.25,37.1,43.35,26.1,44,35.8,28.4,23.3,10.45,6.86,7.13,17.5,7.7,22.7,9,80.5,65.23,21.23,37.15,7,-1.39224469859629
"AX-029","Control","ControlF","Yes",NA,"X/f",29,"Female","White",NA,NA,NA,NA,4.5,4.5,"Football, Gym",55.3,160,86.5,157.5,34.35,41.75,24.15,41.75,35.85,26.5,21.85,16.5,6.36,6.45,16.6,7.3,21.4,8.2,73.5,60.83,19.08,31.75,6.41,-4.19918055193957
"AC-010","Climb","ClimbF","No","Non-elite","Cn/f",20,"Female","White",NA,13,1,2.5,0.5,3,"Pilates, Gym",57.8,176.5,90.75,172.5,39.3,47.5,26.75,44.8,38.15,30.45,23.25,19.2,7.19,7.11,17.5,7.6,22.2,8.5,85.75,67.18,22.38,38.25,7.15,0.017123767115574
"AR-012","Run","RunM","No","Non-elite","Rn/m",24,"Male","White",551,NA,8,2,1.5,3.5,"Cycle",69.6,180,95,185.25,37.05,45.25,28.2,47.8,41.2,29.3,25.2,4.75,7.52,8.28,19.2,8.5,22.9,9.6,85,72.03,24.23,39.75,7.9,2.18708282608207
"AC-011","Climb","ClimbM","No","Non-elite","Cn/m",19,"Male","White",NA,18.5,3,7,0,7,"NONE",74.5,189,97.5,188.5,41.95,50.6,28.3,48.55,45,29.15,27.8,6,7.27,7.91,19.7,4.6,25.1,9.6,91.5,71.75,23.2,40.9,7.59,4.31863282157298
