"ID","Sport","Group","Model2_data","Cohort","Code","Age","Sex","Ethnicity","IAAF","Grade_IRCRA","Exp_yrs","Hrs_Sport","Hrs_Other","Hrs_Total","Other_List","Mass","Stature","SitHeight","ArmSpan","Tibia","TibiaHeight","ForearmL","ForeHand","Biacrom","Biiliac","ForearmC","Triceps","X2D","X4D","HandLength","HandBreadth","FootLength","FootBreadth","Leg","Arm","Humerus","Femur","Finger","PC1"
"AX-055","Control","ControlF","Yes",NA,"X/f",47,"Female","White",NA,NA,NA,NA,0,0,"Walk",73.8,165.5,89.75,162.25,37.25,44.65,25.05,43.15,39.42,27.9,24.9,27.4,7.12,7.38,17.6,7.6,20.1,8.5,75.75,61.42,18.27,31.1,7.25,-1.91483355241285
"AC-041","Climb","ClimbM","Yes","Elite","Ce/m",47,"Male","White",NA,24,33,5,5,10,"Surf, Run, Cycle",77,179.5,95.75,190.75,39.25,46.8,28.5,49.5,42.2,28.25,29.4,7.05,7.44,7.57,19.7,8.6,23.4,9.8,83.75,74.28,24.78,36.95,7.5,2.75935524047546
"AC-042","Climb","ClimbM","Yes","Elite","Ce/m",21,"Male","White",NA,25,16,12,1,13,"Run",80.9,191,100.25,193.75,40.7,49.65,30.95,51.85,40.95,30.25,29.75,6.8,7.88,7.96,20,8.8,25.3,9.6,90.75,76.4,24.55,41.1,7.92,5.10700020459089
"AC-043","Climb","ClimbM","Yes","Elite","Ce/m",21,"Male","White",NA,25,6,8,2,10,"Run, Surf",75.7,185.5,95.75,188.25,42.9,51.3,29,48.4,43.4,28.95,26.4,11.95,7.16,7.67,18.9,8.3,23.1,9,89.75,72.43,24.03,38.45,7.41,3.36395157080184
"AC-044","Climb","ClimbM","Yes","Elite","Ce/m",30,"Male","White",NA,25,16,10,4,14,"Gym",67.8,174,94,175.5,37.6,45.8,27.95,46.75,39.4,27.65,28.2,6.65,6.47,6.93,17.4,7.7,21.9,8.2,80,68.05,21.3,34.2,6.7,-0.292206011444593
"AC-045","Climb","ClimbM","Yes","Elite","Ce/m",58,"Male","White",NA,24,40,8,8,16,"Run, Walk, Cycle",62.1,178,94.5,182.25,38.55,46.9,28.75,48.15,39.55,28.4,26.65,4.65,7.06,7.81,18.9,8.3,22.5,9.1,83.5,71.35,23.2,36.6,7.43,1.53215490466678
"AC-046","Climb","ClimbM","Yes","Elite","Ce/m",32,"Male","Mixed",NA,27,14,20,0,20,"NONE",58.8,170,93.5,171,35.4,42.7,25.5,44.05,40.35,25.85,27.2,5.6,6.68,7.01,17.3,7.8,24.4,9.3,76.5,65.33,21.28,33.8,6.84,-0.936602308838059
"AC-047","Climb","ClimbM","Yes","Elite","Ce/m",41,"Male","White",NA,27,27,9,0,9,"NONE",71.7,183.25,91.5,197.25,42.1,50.9,31.5,52.9,39.2,26.7,27.9,6.05,7.68,7.89,20.6,8.8,24.7,8.7,91.75,79.03,26.13,40.85,7.78,3.98733249656734
"AC-048","Climb","ClimbF","Yes","Elite","Ce/f",30,"Female","White",NA,23,21,8,0,8,"NONE",52.3,171.25,87.25,168.25,39,46.25,25.85,44.4,36.35,27.5,23,9.3,6.95,7.03,17.2,7.2,22.5,7.9,84,65.95,21.55,37.75,6.99,-1.44070028937479
"AC-049","Climb","ClimbF","Yes","Elite","Ce/f",30,"Female","White",NA,27,20,20,1,21,"Run",56.4,167.5,88.25,167,36.95,44.7,26.55,44.55,35.4,26,24.3,10.35,6.92,7.74,17.8,7.6,23.1,7.9,79.25,65.8,21.25,34.55,7.33,-1.47452628094739
"AC-050","Climb","ClimbM","Yes","Elite","Ce/m",35,"Male","White",NA,28,21,16,4,20,"Firefighting",77.1,187.5,98,193,42.3,49.65,28.5,49.65,44.05,30.4,29.35,5,7.66,8.2,20.2,8.7,25.4,9,89.5,74.48,24.83,39.85,7.93,4.98283325148878
"AC-051","Climb","ClimbF","Yes","Elite","Ce/f",23,"Female","White",NA,24,12,16,0,16,"NONE",53.7,161.75,88,159.25,35.7,42.4,25.2,42.2,36.15,25.25,22.25,15.3,6.08,6.8,16.6,6.8,20,7.4,73.75,61.55,19.35,31.35,6.44,-3.93994393672016
"AC-052","Climb","ClimbM","Yes","Elite","Ce/m",25,"Male","White",NA,29.5,13,15,0,15,"NONE",61.8,173.5,91.25,179.5,38.1,46.55,28.4,47.45,40.85,26.8,25.9,4.75,7.14,7.07,18.1,8.1,22.9,8.9,82.25,69.33,21.88,35.7,7.1,0.506686633211046
"AC-053","Climb","ClimbM","Yes","Elite","Ce/m",29,"Male","White",NA,24,26,8,2,10,"Run, Ski, Cycle",83,171.75,95.75,177.75,35.95,44.2,27,46.65,41.35,28.9,31.15,7.85,6.83,7.3,19,8.5,23.2,9.1,76,68.2,21.55,31.8,7.07,0.718909675456192
"AC-054","Climb","ClimbM","No","Non-elite","Cn/m",23,"Male","White",NA,21,2.5,7,3,10,"Run, Cycle",71.4,180.5,96.75,178,38.55,46.4,26.75,46.35,39.4,26.7,27.9,5.05,7.24,7.45,17.6,7.8,22.9,8.6,83.75,69.3,22.95,37.35,7.34,0.72153300046365
"AC-055","Climb","ClimbM","Yes","Elite","Ce/m",21,"Male","White",NA,28.5,6,8,0,8,"NONE",71.4,180.75,93.5,187.5,40.45,48.8,29.15,48.25,40.8,26.65,29,7.1,7.17,7.55,18.7,8.4,21.9,8.7,87.25,73.35,25.1,38.45,7.36,1.82246436184501
"AC-056","Climb","ClimbM","No","Non-elite","Cn/m",34,"Male","White",NA,20,7,12,1.5,13.5,"Run",68.5,176.75,95.25,176.25,37.7,46.6,28.6,47.75,41.05,27.45,27.1,5.15,7.05,7.91,19.2,8.8,23.3,8.9,81.5,67.6,19.85,34.9,7.48,1.5186731577621
"AC-057","Climb","ClimbM","No","Non-elite","Cn/m",57,"Male","White",NA,20,40,20,7,27,"Hike",77.4,180.25,93,182.75,40.85,49.3,29.55,49.45,38.8,30.5,26.35,8.55,7.41,7.82,19.2,8.7,24.7,9.2,87.25,71.98,22.53,37.95,7.61,2.77375024376975
"AC-058","Climb","ClimbM","No","Non-elite","Cn/m",25,"Male","White",NA,20,15,14,0,14,"NONE",69.1,177.5,93,176.75,38.85,47.55,28.15,47.4,35.5,28.1,27.65,12.55,7.1,7.35,18.7,8.1,22.7,8.7,84.5,70.63,23.23,36.95,7.22,0.516592051180733
"AC-059","Climb","ClimbF","Yes","Elite","Ce/f",18,"Female","White",NA,25,12,36,0,36,"NONE",56.7,160.25,86.25,163.5,34.45,41.6,25.4,43.3,35.8,25.75,25.45,14.9,6.26,6.59,16.8,7.3,21.2,8.5,74,63.85,20.55,32.4,6.43,-3.80433030015164
"AC-060","Climb","ClimbM","No","Non-elite","Cn/m",28,"Male","White",NA,22,10,10,0,10,"NONE",69.2,183,95,184.25,40.65,48.4,29.35,49.4,40.45,28.85,27.4,7,6.96,7.28,18.8,8.2,23.1,8.8,88,71.9,22.5,39.6,7.12,2.28104303615638
"AR-085","Run","RunM","Yes","Elite","Re/m",33,"Male","White",785,NA,10,4,10,14,"Cycle, Swim",67.7,174.75,95.5,179.25,38,46.45,28.35,48.5,39.35,28.2,24.35,9.6,7.29,8.09,19.3,8.7,23.9,8.5,79.25,69.95,21.45,32.8,7.69,1.72805277011423
"AX-056","Control","ControlF","Yes",NA,"X/f",34,"Female","Black",NA,NA,NA,NA,6,6,"Gym, Yoga",68.2,164.25,83.75,172,39.5,45.6,27.5,45.9,38.35,27.55,24.55,22,7.09,7.07,18,7.6,22.3,8.9,80.5,66.83,20.93,34.9,7.08,-0.995912922838269
"AR-085.5","Sprint","SprintM","Yes","Elite","RSe/m",53,"Male","Mixed",718,NA,25,20,6,26,"Gym",79.6,182.75,96.5,187.75,40.8,48.2,30.2,50.45,42.25,28.6,28.95,5.25,7.59,7.74,19.4,9.1,24.8,9.6,86.25,72.75,22.3,38.05,7.66,3.69764462625451
"AR-086","Sprint","SprintM","Yes","Elite","RSe/m",53,"Male","Black",710,NA,28,6,6,12,"Gym, Football",69.1,169,86.5,176.75,40.65,47.4,27.2,46.45,41.75,25.4,27,8.45,7.04,7.8,18.2,7.7,23.1,9.9,82.5,67.5,21.05,35.1,7.42,0.235215118345006
"AR-087","Sprint","SprintF","Yes","Elite","RSe/f",62,"Female","Mixed",650,NA,30,8,0,8,"NONE",66.2,167.75,86.75,173,38.9,46.3,27.45,46.3,38.65,29.35,24.55,10.55,7.67,7.89,18.5,8.4,24.6,9.3,81,67.18,20.88,34.7,7.78,0.567513113094973
"AR-088","Run","RunF","No","Non-elite","Rn/f",37,"Female","White",611,NA,20,7.5,2,9.5,"Gym, Swim, Cycle",59.5,166,89,162,37.45,44.15,25.45,43.75,36.45,28.65,22.9,20.55,6.63,7.15,17.3,7.4,22.4,8.9,77,62.78,19.03,32.85,6.89,-1.95873495982046
"AR-089","Run","RunF","Yes","Elite","Re/f",40,"Female","White",1042,NA,30,14,5,19,"Golf, Hike, Cycle",49.7,169,92.25,161,35.35,43.1,24.8,41.6,35.8,28,21.55,6.9,6.87,7.12,17.1,7.8,20.1,8.5,76.75,62.6,21,33.65,6.99,-2.63803779565669
"AR-090","Run","RunF","Yes","Elite","Re/f",41,"Female","White",811,NA,36,4.5,2,6.5,"Cycle, Hike",57.6,175.5,93.5,173.5,38.8,46.7,26.4,46.15,36.7,28.95,23.35,10.2,7.48,7.87,18.9,8.1,23.8,9.2,82,68.4,22.25,35.3,7.68,0.81123504443573
"AR-091","Run","RunF","Yes","Elite","Re/f",45,"Female","White",825,NA,20,7,2,9,"Gym",57.5,168.25,88.25,169.5,36.45,43,26.45,44.5,35.2,28.75,22.85,12.8,6.33,6.72,17.1,7.2,20.6,7.9,80,67.15,22.65,37,6.52,-2.37885148650986
"AR-092","Run","RunM","Yes","Elite","Re/m",52,"Male","White",753,NA,49,13,0,13,"NONE",62.9,174.5,91.75,176.5,39.1,46.25,28.75,47.75,36,28.15,25.15,7.45,6.86,7.37,17.9,7.9,22.3,8.3,82.75,70.25,22.5,36.5,7.12,0.1267036027879
"AR-093","Sprint","SprintM","Yes","Elite","RSe/m",46,"Male","White",683,NA,35,10,5,15,"Gym, Row, Cycle",73.8,175,91,181.75,39,46.95,28.1,47.9,42.05,28.95,26.7,4.4,6.98,7.59,18.4,8.4,24.7,10.1,84,69.85,21.95,37.05,7.28,1.61295527432914
"AW-006","Walk","WalkF","Yes","Elite","We/f",46,"Female","White",742,NA,11,4,6,10,"Swim, Cycle, Run",81.6,172.5,93.25,173.5,37,44.2,26.05,45.25,39,29.85,24.8,29.7,7.38,6.74,18.5,7.7,22.3,8.3,79.25,67.25,22,35.05,7.06,-0.094724280385857
"AW-007","Walk","WalkF","Yes","Elite","We/f",55,"Female","White",742,NA,5,18,9,27,"Run, Swim",52.8,165.5,88.75,167.5,36.35,42.75,25.4,43.65,39.05,27.25,19.4,8.5,6.59,6.33,17.3,7,20.6,7.5,76.75,64.23,20.58,34,6.46,-2.45232314305152
"AR-094","Sprint","SprintM","Yes","Elite","RSe/m",46,"Male","White",718,NA,14,6,4,10,"Gym, Walk",84.3,182.5,95.5,184.25,40.45,49,30.1,49.8,41.75,29.8,28.1,11.35,7.26,7.56,19.5,9,22.6,9.2,87,71.25,21.45,38,7.41,2.93708079674662
"AR-095","Sprint","SprintF","Yes","Elite","RSe/f",52,"Female","Black",768,NA,10,6,3,9,"Netball",88.4,175,92.5,179.75,40.25,48.3,28.3,47.9,38.95,28.75,28.65,25.3,7.22,8.14,19.3,8.7,24.3,9.6,82.5,70.4,22.5,34.2,7.68,1.92913495241736
"AR-096","Sprint","SprintF","Yes","Elite","RSe/f",51,"Female","Black",761,NA,35,15,0,15,"NONE",59.2,162.75,85.5,167.25,36.9,43.4,27.4,45.85,36.95,25.4,24.75,8.8,6.82,6.87,17.8,7.8,22.7,9.5,77.25,65.15,19.3,33.85,6.85,-1.97922941564758
"AR-097","Run","RunF","Yes","Elite","Re/f",50,"Female","White",729,NA,32,7,3,10,"Cycle",56.5,156,84.25,159.75,34.3,40.45,25.65,42.5,34.55,28.05,21.45,11.5,6.79,6.43,16.3,7.3,21.3,8.4,71.75,62.6,20.1,31.3,6.61,-4.13140331789003
"AR-098","Sprint","SprintF","Yes","Elite","RSe/f",37,"Female","Mixed",870,NA,11,6,4.5,10.5,"Gym, Cycle",57.9,163.25,85,161.5,35.75,42.3,24.1,41.7,36.65,24.85,24,9.7,6.77,6.95,17.2,7.6,20.8,8.4,78.25,62.43,20.73,35.95,6.86,-3.59806065704303
"AR-099","Sprint","SprintF","Yes","Elite","RSe/f",36,"Female","White",817,NA,2,9,0,9,"NONE",66.6,169.75,92.75,163,36.45,44,25,42.5,37.85,27.8,24.75,10.8,7.08,7,17.5,8.6,20.9,8.6,77,62.58,20.08,33,7.04,-1.80577858872428
"AR-100","Run","RunM","Yes","Elite","Re/m",32,"Male","White",1016,NA,15,13,0,13,"NONE",66.2,179,92,185.75,40.2,48.2,28.45,48.65,42.3,26.65,25.25,6.75,7.31,7.39,18.2,7.5,24.5,9.9,87,71.73,23.08,38.8,7.35,1.94619454845212
"AR-101","Sprint","SprintF","Yes","Elite","RSe/f",24,"Female","White",775,NA,2,9,2,11,"Yoga",65.6,177.25,93,172.25,41.05,48,27.3,45.5,36.45,28.15,23.8,14.55,6.95,7.38,17.7,7.9,21.5,8.3,84.25,67.9,22.4,36.25,7.16,0.0335787943453674
"AR-102","Run","RunF","Yes","Elite","Re/f",30,"Female","White",869,NA,9,7,5,12,"Cycle, Swim, Gym",58.1,166.5,85.5,170.25,36.7,44.55,25.8,43.85,36.15,27.7,23,13.6,6.92,7.11,17.2,7.9,20.4,8.7,81,67.05,23.2,36.45,7.01,-2.41432374671287
"AR-103","Run","RunF","Yes","Elite","Re/f",48,"Female","White",834,NA,15,12,5,17,"Cycle, Gym, Yoga",53.3,163,85.5,162.5,35.85,43.05,25.9,43.8,34.55,26.25,23,12.5,6.64,6.98,17.6,7.8,20.4,7.9,77.5,63.98,20.18,34.45,6.81,-3.26685878552352
"AC-061","Climb","ClimbF","Yes","Elite","Ce/f",25,"Female","White",NA,22,19,5,2,7,"Swim, Gym, Poledance",67.5,166.5,88.75,170,36.5,43.75,26.3,45,37.7,29.05,26.65,13,7.23,7.22,18.3,7.7,21.9,8.5,77.75,66.15,21.15,34,7.23,-1.06123178065783
"AC-062","Climb","ClimbF","Yes","Elite","Ce/f",21,"Female","White",NA,23,8,20,0,20,"NONE",70.8,168.25,89.75,170,36.2,44.3,25.8,43,39.65,28.6,27.2,16.6,6.4,6.74,16.8,7.6,21.7,9.1,78.5,65.18,22.18,34.2,6.57,-1.77720567490026
"AC-063","Climb","ClimbM","No","Non-elite","Cn/m",25,"Male","White",NA,21,6,9,6,15,"Cycle, Cricket",68.6,182.25,94.5,182.5,41.35,49.25,29.1,48.55,40.45,27.2,27.25,6.9,7.31,7.87,19.2,8.6,22.5,9.7,87.75,71.03,22.48,38.5,7.59,2.32026431221628
"AR-104","Sprint","SprintM","Yes","Elite","RSe/m",18,"Male","Black",946,NA,2,7,2,9,"Football",66.1,169.75,90.75,180,38.05,44.35,28.45,47.25,42.1,25.15,25.9,6.15,6.78,7.61,18.3,8.1,23.2,9.1,79,68.95,21.7,34.65,7.2,0.479382617764167
"AR-105","Sprint","SprintM","Yes","Elite","RSe/m",18,"Male","Black",685,NA,4,4,4,8,"High Jump, Long Jump",72.9,180.75,90.25,194.75,43.65,50.7,30.6,50.7,43.55,27.25,25.7,7.75,8.04,8.58,19.7,8.5,23.7,9.2,90.5,75.6,24.9,39.8,8.31,4.16083293199957
"AR-106","Sprint","SprintM","Yes","Elite","RSe/m",19,"Male","Black",689,NA,4,8,5,13,"Cycle",68.5,174.75,90.25,187.75,39.95,47,29.7,48.95,43.4,28.5,26.3,6.25,7.3,7.7,19.1,8.1,24.7,9.4,84.5,72.18,23.23,37.5,7.5,2.62807123579308
"AR-107","Sprint","SprintM","Yes","Elite","RSe/m",18,"Male","Black",977,NA,3,3,0,3,"NONE",73.1,175.25,90.75,183,40.3,47.45,28,49.1,41.7,25.25,28.1,6.7,7.99,9.05,19.5,8.9,24.6,9.6,84.5,70.65,21.55,37.05,8.52,2.45639614102815
"AR-108","Sprint","SprintF","Yes","Elite","RSe/f",20,"Female","White",771,NA,11,8,20,28,"Hockey, Row, Tennis, Horse riding",66.8,169.5,89.75,170.75,37.85,45.9,26.65,45.05,37.9,28.6,26,12.9,6.55,6.64,16.6,7.7,21.6,8.9,79.75,66.43,21.38,33.85,6.59,-1.57448873964725
"AR-109","Sprint","SprintM","Yes","Elite","RSe/m",18,"Male","White",749,NA,9,10,2,12,"Boxing",75.6,185.25,98,188.25,39.7,48.25,27.75,48.8,41.9,29.6,27.1,8.3,7.68,7.87,18.9,7.9,25.1,9.7,87.25,73.18,24.38,39,7.78,3.37845179661585
"AR-110","Sprint","SprintM","Yes","Elite","RSe/m",18,"Male","Black",864,NA,8.5,5.5,0,5.5,"NONE",71.7,177,88.5,189.5,43.6,51,30.35,51,41.6,24.65,26.9,8,7.83,8.35,20,8.7,26.3,9.7,88.5,73.95,22.95,37.5,8.09,3.61918440056148
"AR-111","Sprint","SprintF","Yes","Elite","RSe/f",18,"Female","Black",876,NA,5,6,4,10,"Hammer throwing",63.4,164,87,170,38.1,44.1,27.2,45.5,36,27.15,23.65,10.5,6.76,6.87,18.2,7.8,22.2,9.5,77,67,21.5,32.9,6.81,-1.524382055094
"AR-112","Sprint","SprintM","Yes","Elite","RSe/m",18,"Male","White",728,NA,11,9,7.5,16.5,"Gym",76.2,184,94.5,184.5,42.35,51.3,28.85,48.1,40.4,27.8,27.3,10.8,7.15,7.48,18.2,8.4,22.6,9.4,89.5,72.05,23.95,38.2,7.32,2.17012438467425
"AR-113","Sprint","SprintF","Yes","Elite","RSe/f",25,"Female","White",871,NA,12,10,2,12,"Swim",58.5,169.25,87.5,168.5,38.15,45.65,26,44.95,36.5,27.2,21.6,12.15,7.31,7.29,17.2,7.6,21.4,8.2,81.75,66,21.05,36.1,7.3,-1.62261817734827
"AR-114","Sprint","SprintM","Yes","Elite","RSe/m",20,"Male","White",1000,NA,10,9,2,11,"Swim, Gym",71.9,179,95.5,182.5,40.25,48.15,28.7,47.7,39.75,26.9,25.7,9.2,6.95,7.59,18.2,8.3,23.1,9.3,83.5,71.38,23.68,35.35,7.27,1.55189315303849
"AR-115","Sprint","SprintF","Yes","Elite","RSe/f",35,"Female","Black",1079,NA,18,20,0,20,"NONE",67.3,169.75,85.25,177.75,41.5,47.95,29.4,49.3,38.3,26.55,25,8.75,7.12,7.46,18.4,7.9,23.3,8.6,84.5,69.73,20.43,36.55,7.29,0.496134103335702
"AR-116","Sprint","SprintF","Yes","Elite","RSe/f",24,"Female","White",732,NA,7,10,6,16,"Cycle, Climb",57.3,161.25,87,161,35.7,42.3,24.7,42.6,34.2,28,22.1,13.4,6.81,7.08,16.9,7,20.6,8.1,74.25,63.4,20.8,31.95,6.95,-3.45654618946143
"AR-117","Sprint","SprintF","Yes","Elite","RSe/f",26,"Female","White",1032,NA,16,12,3,15,"Yoga, Pilates, Football",63.4,168.5,91.5,170.25,36.1,43.55,25.65,44.65,37.8,27.95,25.1,9.25,7.15,7.26,18.1,8.2,22.2,8.7,77,66.23,21.58,33.45,7.21,-1.0682776624769
"AR-118","Sprint","SprintM","Yes","Elite","RSe/m",25,"Male","Black",995,NA,15,4,12,16,"",65.8,171.25,88.5,178.25,39.15,46,28.3,46.9,42.3,26.35,26.3,4.95,6.29,6.52,17.2,7.5,22.3,8.4,82.75,67.98,21.08,36.75,6.4,-0.408539880010494
"AR-119","Run","RunF","Yes","Elite","Re/f",33,"Female","White",1040,NA,20,9,1,10,"",53.7,168.25,91.25,165,37,44.05,26.2,44.5,34.65,27.9,23,14.85,6.888888889,7.39,17.1,7.6,22,8.7,77,65.18,20.68,32.95,7.14,-1.78140980841534
"AR-120","Run","RunM","Yes","Elite","Re/m",19,"Male","Mixed",846,NA,3,12,2,14,"Swim",67.5,184.25,96,188.25,41.85,50.35,29.35,49.3,41.35,29.4,24.2,6,7.48,7.64,19.4,8,24.4,9,88.25,73.45,24.15,37.9,7.56,3.57222193460685
"AR-121","Sprint","SprintF","Yes","Elite","RSe/f",26,"Female","White",839,NA,4,8,5,13,"Dance",62.7,168.5,92,160.5,36.85,43.9,24.2,41.55,37.5,27.5,23.4,11.5,6.08,6.46,15.9,7.4,20.9,7.7,76.5,61.5,19.95,32.6,6.27,-3.1107895482569
"AR-122","Sprint","SprintF","Yes","Elite","RSe/f",20,"Female","White",834,NA,12,10,4,14,"Gym",59.9,159.5,86,162.5,34.7,41.95,24.7,41.85,37.5,27.9,23.55,13.15,6.34,6.79,16.5,7.5,21.8,7.6,73.5,62.5,20.65,31.55,6.57,-3.44973643937947
"AX-057","Control","ControlM","Yes",NA,"X/m",27,"Male","White",NA,NA,NA,NA,7,7,"Gym, Football, Tennis",71.5,178,92.75,177.25,39.65,47.5,28.6,47.55,40.55,29.35,27.2,10.35,7.31,7.6,18.4,8.1,23.7,8.5,85.25,68.35,20.8,37.75,7.46,1.67544941005663
"AR-123","Run","RunM","Yes","Elite","Re/m",22,"Male","White",899,NA,13,10,0,10,"NONE",66,180.75,94.5,184.75,39.8,46.95,28.7,48.2,41.8,26.85,24.3,4.9,7.56,7.79,19.2,8.1,22.9,8.5,86.25,71.48,23.28,39.3,7.68,2.2991546795191
"AR-124","Sprint","SprintM","Yes","Elite","RSe/m",18,"Male","Black",1037,NA,9,8,2,10,"Basketball, Football, Gaelic football",79.9,177,89.5,189.75,41.75,48.7,29.7,49.55,40.95,27.85,28.95,8.1,8.37,8.71,20.3,8.9,24.3,9,87.5,74.4,24.85,38.8,8.54,3.56970432102495
"AR-125","Sprint","SprintF","Yes","Elite","RSe/f",18,"Female","White",1017,NA,7,7,0,7,"NONE",65.8,169.75,90.75,171.5,38.7,46.25,27.45,45.6,35,27.05,24.95,14,7.45,7.73,18.2,7.9,23.6,8.3,79,68.25,22.65,32.75,7.59,-0.196301409027131
"AR-126","Sprint","SprintF","Yes","Elite","RSe/f",18,"Female","Mixed",1056,NA,7,12,0,12,"NONE",57.7,168,88.25,172.25,39.45,46.7,27,45.45,37.55,26.35,22.4,7.2,7.04,7.27,17.3,7,23.2,8.1,79.75,67.35,21.9,33.05,7.16,-0.805421535370429
"AR-127","Sprint","SprintM","Yes","Elite","RSe/m",23,"Male","Black",925,NA,13,20,0,20,"NONE",77,173.5,90.25,184.25,40.55,47.2,28.1,47.95,44.1,25.75,30.3,4.6,6.92,7.47,18.8,8.2,23.2,8.4,83.25,70.08,22.13,36.05,7.2,1.45172662002237
"AR-128","Sprint","SprintM","Yes","Elite","RSe/m",18,"Male","White",747,NA,5,10,2,12,"Rugby",76.7,173.5,93.5,177.75,37.6,45.3,26.25,45.9,43.15,28.3,29.7,5.7,7.95,7.86,19.2,9.3,25.1,9.5,80,67.3,21.4,34.7,7.9,1.80678856638505
"AR-129","Sprint","SprintM","Yes","Elite","RSe/m",18,"Male","Asian",971,NA,9,8,0,8,"NONE",71.8,175.25,93.5,175,38.6,45.5,27.3,45.65,42.45,26.3,25,8.95,6.63,7.41,18.3,8.2,24,9.5,81.75,66.28,20.63,36.25,7.02,0.790680509009149
"AR-130","Sprint","SprintF","Yes","Elite","RSe/f",20,"Female","White",895,NA,12,12,0,12,"NONE",68.4,171.75,90.25,176,39.45,46.8,26.35,45.35,38.85,27.8,25.4,10.55,7.26,7.88,19,8.1,22.8,8.6,81.5,68.58,23.23,34.7,7.57,0.47092279382016
"AR-131","Run","RunM","Yes","Elite","Re/m",18,"Male","White",772,NA,8,10,0,10,"NONE",64.3,176.25,92.75,178,39.3,46.75,26.65,46.65,40.55,27.3,24.5,7.9,7.29,7.89,19.1,7.7,23.1,9.3,83.5,68.73,22.08,36.75,7.59,1.17122568421042
"AR-132","Sprint","SprintM","Yes","Elite","RSe/m",18,"Male","White",912,NA,8,13,0,13,"NONE",73.6,183.5,95.5,185.75,41.6,49.5,28.8,48.6,40.5,26.55,26.6,5.1,7.64,7.9,18.7,8.4,24.7,9.7,88,72.63,24.03,38.5,7.77,2.87439868119131
"AR-133","Sprint","SprintM","Yes","Elite","RSe/m",18,"Male","White",918,NA,6,5,0,5,"NONE",77.8,184,100.5,182.5,40,48.05,28.4,47.1,41.75,29.35,25.5,7.1,7.32,7.7,18.3,7.8,24.6,9.6,83.5,70.38,23.28,35.45,7.51,2.97551246555297
"AR-134","Run","RunM","Yes","Elite","Re/m",20,"Male","White",834,NA,5,6,0,6,"NONE",64.9,172.75,92,173.75,38.55,46,27.15,45.05,38.8,25.7,25.3,9.7,6.22,6.89,16.5,7.9,22.4,9.2,80.75,67.48,22.43,34.75,6.55,-1.09449256525082
"AR-135","Run","RunF","No","Non-elite","Rn/f",24,"Female","White",418,NA,4,4,2,6,"Cycle, Swim",63.4,172.25,92,168.25,37.1,44.35,26.3,45.25,36.8,27.7,23.45,14.05,6.98,7.47,18.6,7.4,23.2,8.9,80.25,65.73,20.48,35.9,7.22,-0.479796244606376
"AX-058","Control","ControlM","Yes",NA,"X/m",22,"Male","White",NA,NA,NA,NA,14,14,"Row, Gym, Cycle",88.9,189,99.5,190.5,41.35,50.3,29.8,50.8,43.1,28.85,30.2,12.1,7.68,7.27,19.6,8.6,25.4,9.9,89.5,73.7,22.9,39.2,7.47,4.44068903978154
"AX-059","Control","ControlF","Yes",NA,"X/f",24,"Female","White",NA,NA,NA,NA,4,4,"Powerlift",53.2,161.5,88.5,158.5,34.35,41.2,23.85,41,33.85,26.85,21.8,13.05,6.35,6.62,16.3,7.1,21,7.6,73,62.33,21.33,31.8,6.49,-4.31442511076122
"AR-136","Run","RunF","Yes","Elite","Re/f",26,"Female","White",1048,NA,15,12,2,14,"Gym",52.1,167.75,87,165,36.95,44.6,24.75,42.75,35,28.5,21.7,9.05,6.57,6.77,16.4,7.3,21.4,7.8,80.75,65,22.25,36.15,6.67,-2.89175679320007
"AR-137","Run","RunF","Yes","Elite","Re/f",21,"Female","White",842,NA,9,14,6,20,"Cycle, Swim",55.8,165,88,162.75,35.7,43.65,25.7,43.25,36.2,26.5,23.25,12.65,6.43,6.78,16.6,7.2,21.6,8.4,77,63.28,20.03,33.35,6.61,-3.02937669796018
"AR-138","Run","RunF","No","Non-elite","Rn/f",21,"Female","Asian",141,NA,1,1,1,2,"Cycle, Hike",60.6,165.75,84.5,174,37.95,44.95,27.8,46.5,36.35,27.75,23.35,15.95,6.61,7.11,16.8,7.4,21.8,8.1,81.25,68.83,22.33,36.3,6.86,-1.75030659022869
"AR-139","Run","RunF","No","Non-elite","Rn/f",24,"Female","White",431,NA,5,12,5,17,"Kickbox, Hike, Gym, Cycle",72.4,177.25,93.25,175.75,38.1,46.85,27.05,45.4,38.15,30.3,25.95,19.1,6.57,7.08,17.1,7.8,23.2,9.1,84,68.8,23.4,37.15,6.82,0.0888511599982566
"AC-064","Climb","ClimbM","Yes","Elite","Ce/m",33,"Male","White",NA,28,26,12,0,12,"NONE",72.1,176.5,93.5,181.75,36.75,46.05,27.35,46.95,41.5,27.55,29,4.8,7.29,7.89,18.8,9.2,21.9,9.1,83,70.13,23.18,36.95,7.59,0.954494705846304
"AW-008","Walk","WalkF","Yes","Elite","We/f",18,"Female","White",905,NA,5.5,9,1.5,10.5,"Run",63.5,179.5,96.75,174.25,39.4,46.5,26.65,45.6,39.35,31.3,22.8,13.8,7.2,7.26,18.9,7.6,24.3,9.2,82.75,67.45,21.85,36.25,7.23,1.71440284891971
