"proportion_id","focal","control","sex","dataset","sport1","sport2","comparison","p_same_sign","p_tradeoff","sport1_mean","sport2_mean"
"Finger","Finger","absolute","M","m1","climb","run","climb_vs_run",0.47475,0.52525,0.0428553863991235,-0.0569073279440563
"Finger.Stature","Finger","Stature","F","m1","climb","run","climb_vs_run",0.564875,0.435125,0.0562732457329329,0.0611358817928165
"Finger.Stature","Finger","Stature","M","m1","climb","run","climb_vs_run",0.597,0.403,0.132486455196488,0.0377602071046808
"Finger.HandLength","Finger","HandLength","F","m1","climb","run","climb_vs_run",0.604625,0.395375,0.0105352138933805,0.000108509931870539
"Finger.HandLength","Finger","HandLength","M","m1","climb","run","climb_vs_run",0.6005,0.3995,0.0610130812976568,-0.0341614793412036
"Biiliac","Biiliac","absolute","F","m1","climb","run","climb_vs_run",0.9229375,0.0770625,-0.40415280372135,-0.203918999553169
"Biiliac","Biiliac","absolute","M","m1","climb","run","climb_vs_run",0.910375,0.089625,-0.200084404845381,-0.488631955324875
"Biiliac.Stature","Biiliac","Stature","F","m1","climb","run","climb_vs_run",0.9360625,0.0639375,-0.430694782582406,-0.2288010876036
"Biiliac.Stature","Biiliac","Stature","M","m1","climb","run","climb_vs_run",0.9311875,0.0688125,-0.232145170834215,-0.5081208807835
"Biacrom","Biacrom","absolute","F","m1","climb","run","climb_vs_run",0.64525,0.35475,-0.0924650594830916,-0.138208188992874
"Biacrom","Biacrom","absolute","M","m1","climb","run","climb_vs_run",0.892375,0.107625,-0.163286102936936,-0.319713084506965
"Biacrom.Stature","Biacrom","Stature","F","m1","climb","run","climb_vs_run",0.606625,0.393375,-0.0770559884235324,-0.113856899072705
"Biacrom.Stature","Biacrom","Stature","M","m1","climb","run","climb_vs_run",0.8733125,0.1266875,-0.158940911035081,-0.299513224632721
"Biacrom.Biiliac","Biacrom","Biiliac","F","m1","climb","run","climb_vs_run",0.5264375,0.4735625,-0.0238831764592854,-0.0590700353658408
"Biacrom.Biiliac","Biacrom","Biiliac","M","m1","climb","run","climb_vs_run",0.7115,0.2885,-0.100783710093719,-0.156799267587282
"Mass","Mass","absolute","F","m1","climb","run","climb_vs_run",0.7606875,0.2393125,-0.101659111036709,-0.393868713813094
"Mass","Mass","absolute","M","m1","climb","run","climb_vs_run",0.61475,0.38525,-0.0399010738350908,-0.631861698586875
"Mass.Stature","Mass","Stature","F","m1","climb","run","climb_vs_run",0.8280625,0.1719375,-0.143103488305783,-0.426009741126635
"Mass.Stature","Mass","Stature","M","m1","climb","run","climb_vs_run",0.7311875,0.2688125,-0.0914379535200675,-0.66760553365375
"Triceps","Triceps","absolute","F","m1","climb","run","climb_vs_run",0.9159375,0.0840625,-0.231831392228645,-0.435702257228031
"Triceps","Triceps","absolute","M","m1","climb","run","climb_vs_run",0.988875,0.0111250000000001,-0.318189382031151,-0.502600683797437
"Triceps.Hrs_Total","Triceps","Hrs_Total","F","m1","climb","run","climb_vs_run",0.8754375,0.1245625,-0.18732308007079,-0.385076950953194
"Triceps.Hrs_Total","Triceps","Hrs_Total","M","m1","climb","run","climb_vs_run",0.9754375,0.0245625,-0.268449795576005,-0.436523625936469
"ForearmC","ForearmC","absolute","F","m1","climb","run","climb_vs_run",0.092125,0.907875,0.195109947498827,-0.336886952714134
