"Extraction_name","Model_name","Parameter1","Parameter1_index","Parameter2","Parameter2_index","Comparison_type","mean","sd","ci_lower_89","ci_upper_89","ci_lower_95","ci_upper_95","prob_positive","n_samples"
"m1_Finger.Stature.Eth___RunM","m1_Finger.Stature.Eth","b",2,NA,NA,"single",0.0377602071046808,0.147633161683911,-0.19839540815,0.27166825275,-0.25045440475,0.32668703825,0.602625,16000
"m1_Finger.HandLength___RunM","m1_Finger.HandLength","b",2,NA,NA,"single",0.0373569736462962,0.174978729199492,-0.2426088667,0.32004520615,-0.30636261875,0.384629514,0.5846875,16000
"m1_Finger.HandLength.Eth___RunM","m1_Finger.HandLength.Eth","b",2,NA,NA,"single",-0.0341614793412036,0.170860031855617,-0.3100673612,0.23932902545,-0.3668097315,0.2963101905,0.4193125,16000
"m1_Finger___ClimbM","m1_Finger","b",4,NA,NA,"single",0.0300111385917589,0.151265932532968,-0.21339615605,0.2677328177,-0.26957850525,0.32086770175,0.5801875,16000
"m1_Finger.Eth___ClimbM","m1_Finger.Eth","b",4,NA,NA,"single",0.0428553863991235,0.14826706781561,-0.19461131865,0.2806953604,-0.24430725975,0.33088748975,0.6133125,16000
"m1_Finger.Stature___ClimbM","m1_Finger.Stature","b",4,NA,NA,"single",0.106716412442886,0.163626343842688,-0.15433798845,0.36776724235,-0.217474143,0.430507997,0.7425625,16000
"m1_Finger.Stature.Eth___ClimbM","m1_Finger.Stature.Eth","b",4,NA,NA,"single",0.132486455196488,0.158611373505955,-0.1233610238,0.38469566435,-0.18273616625,0.44149793575,0.801125,16000
"m1_Finger.HandLength___ClimbM","m1_Finger.HandLength","b",4,NA,NA,"single",0.0794906642619761,0.191699180689322,-0.2282585037,0.38085115435,-0.2935454835,0.450359663,0.6624375,16000
"m1_Finger.HandLength.Eth___ClimbM","m1_Finger.HandLength.Eth","b",4,NA,NA,"single",0.0610130812976568,0.185876895113762,-0.2368578916,0.359427176,-0.30040987675,0.42725579175,0.6274375,16000
"m1_Finger___RunF","m1_Finger","b",1,NA,NA,"single",-0.046814422240292,0.150330852549863,-0.2828709057,0.19196389795,-0.33719600225,0.2472671235,0.3796875,16000
"m1_Finger.Eth___RunF","m1_Finger.Eth","b",1,NA,NA,"single",-0.0177905592642719,0.147596826603141,-0.25705732655,0.21519242095,-0.30749332775,0.2698125135,0.4574375,16000
"m1_Finger.Stature___RunF","m1_Finger.Stature","b",1,NA,NA,"single",0.0155046265323814,0.159570315966884,-0.24088096,0.26883588165,-0.29661208725,0.329150928,0.5388125,16000
"m1_Finger.Stature.Eth___RunF","m1_Finger.Stature.Eth","b",1,NA,NA,"single",0.0611358817928165,0.156219511805131,-0.1888302764,0.309102496,-0.24352878975,0.370560171,0.6545625,16000
