Category,Subcategory,Species,Reference,Specimen,Location,Sex,Mass,Stature
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171378",Cro-magnon 4314,France,M,70.096,
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171379",Cro-magnon 4315,France,M,73.498,
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171380",Cro-magnon 4317,France,,61.7044,
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171381",Cro-magnon 4321,France,,61.2508,
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171382",Cro-magnon 4322,France,,,1789
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171383",Cro-magnon 4324,France,,,1600
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171384",Cro-magnon 4330,France,,,1737
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171385",Cro-magnon 4337,France,F,81.05073976,1702.23276
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171386",Cro-magnon 4345-Bis,France,,,1706.394455
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171387",Cro-magnon 4345,France,,,1719.333335
Human,Late Pleist H. sapiens,H. sapiens,"Manuel Will, Adrián Pablos, Jay T. Stock; Long-term patterns of body mass and stature evolution within the hominin lineage. R Soc Open Sci. 1 November 2017; 4 (11): 171339. https://doi.org/10.1098/rsos.171388",Cro-magnon 4346,France,,,1696.49092
