Measure,Control,Condition,Group,Type,Model,ClimbF,ClimbF.L,ClimbF.U,ClimbM,ClimbM.L,ClimbM.U,RunF,RunF.L,RunF.U,RunM,RunM.L,RunM.U,SprintF,SprintF.L,SprintF.U,SprintM,SprintM.L,SprintM.U,WalkF,WalkF.L,WalkF.U,WalkM,WalkM.L,WalkM.U
FootB,Stature,FootB [Stature],Extremities,Relative,Model2,0.153,-0.115,0.585,-0.210,-0.626,0.153,0.180,-0.070,0.578,0.060,-0.626,0.153,0.072,-0.171,0.381,0.270,-0.086,0.678,0.097,-0.163,0.455,0.471,-0.029,1.076
HandL,,HandL,Extremities,Absolute,Model2,0.087,-0.252,0.492,0.112,-0.134,0.485,0.110,-0.185,0.479,0.085,-0.134,0.485,0.248,-0.059,0.698,0.154,-0.102,0.577,0.257,-0.065,0.751,0.074,-0.203,0.435
HandL,Stature,HandL [Stature],Extremities,Relative,Model2,0.087,-0.148,0.417,0.632,0.219,1.033,0.096,-0.109,0.390,0.523,0.219,1.033,0.131,-0.078,0.454,0.407,0.046,0.781,0.114,-0.099,0.445,0.387,-0.004,0.813
HandB,,HandB,Extremities,Absolute,Model2,0.142,-0.339,0.619,-0.041,-0.422,0.328,0.390,-0.023,0.826,-0.416,-0.422,0.328,0.770,0.250,1.247,0.217,-0.159,0.654,0.177,-0.252,0.627,0.027,-0.415,0.493
HandB,Stature,HandB [Stature],Extremities,Relative,Model2,0.153,-0.311,0.626,0.136,-0.213,0.526,0.398,0.000,0.811,-0.281,-0.213,0.526,0.716,0.234,1.159,0.306,-0.058,0.719,0.043,-0.383,0.463,0.150,-0.267,0.619
Finger,,Finger,Extremities,Absolute,Model2,0.110,-0.250,0.537,0.026,-0.213,0.290,0.223,-0.094,0.661,0.034,-0.213,0.290,0.338,-0.029,0.825,0.104,-0.127,0.482,0.210,-0.123,0.656,0.041,-0.223,0.372
Finger,Stature,Finger [Stature],Extremities,Relative,Model2,0.133,-0.187,0.534,0.214,-0.061,0.615,0.243,-0.052,0.647,0.206,-0.061,0.615,0.276,-0.033,0.689,0.229,-0.061,0.673,0.103,-0.201,0.468,0.176,-0.118,0.607
Finger,HandL,Finger [HandL],Extremities,Relative,Model2,0.046,-0.166,0.298,-0.038,-0.245,0.123,0.135,-0.050,0.400,-0.011,-0.245,0.123,0.112,-0.067,0.369,0.030,-0.137,0.240,-0.009,-0.233,0.194,0.005,-0.193,0.216
Biiliac,,Biiliac,Breadths,Absolute,Model2,-0.386,-1.013,0.036,-0.537,-0.978,-0.099,-0.197,-0.625,0.122,-0.670,-0.978,-0.099,-0.267,-0.719,0.060,-0.461,-0.900,-0.040,-0.220,-0.689,0.122,-0.477,-0.994,-0.011
Biiliac,Stature,Biiliac [Stature],Breadths,Relative,Model2,-0.607,-1.158,-0.082,-0.203,-0.539,0.074,-0.300,-0.690,0.054,-0.349,-0.539,0.074,-0.503,-0.913,-0.085,-0.338,-0.721,0.002,-0.535,-1.010,-0.069,-0.239,-0.645,0.079
Biacrom,,Biacrom,Breadths,Absolute,Model2,0.225,-0.199,0.738,0.003,-0.360,0.370,-0.134,-0.543,0.229,-0.333,-0.360,0.370,0.317,-0.059,0.776,0.368,-0.049,0.861,0.401,-0.038,0.937,-0.027,-0.465,0.399
Biacrom,Stature,Biacrom [Stature],Breadths,Relative,Model2,0.213,-0.130,0.670,0.186,-0.155,0.568,-0.139,-0.502,0.160,-0.182,-0.155,0.568,0.198,-0.098,0.573,0.448,-0.005,0.961,0.217,-0.106,0.645,0.093,-0.317,0.528
Biacrom,Biiliac,Biacrom [Biiliac],Breadths,Relative,Model2,0.632,0.096,1.185,0.204,-0.150,0.596,-0.047,-0.441,0.340,-0.105,-0.150,0.596,0.605,0.181,1.024,0.560,0.049,1.085,0.723,0.235,1.207,0.153,-0.265,0.597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
