ID,Sport,Group,Model2_data,Cohort,Code,Age,Sex,Ethnicity,IAAF,Grade_IRCRA,Exp_yrs,Hrs_Sport,Hrs_Other,Hrs_Total,Other_List,Mass,Stature,SitHeight,ArmSpan,Tibia,TibiaHeight,ForearmL,ForeHand,Biacrom,Biiliac,ForearmC,Triceps,2D,4D,HandLength,HandBreadth,FootLength,FootBreadth,Leg,Arm,Humerus,Femur,Finger,,,,,,,,,,,,,,,,,,,,
AX-004,Control,ControlM,Yes,NA,X/m,22,Male,Asian,,,NA,NA,4.5,4.5,Gym,72.2,168.25,86.75,174.25,36.85,45.15,27.55,44.80,39.95,27.25,26.45,18.00,6.62,7.04,18.2,8.0,21.0,8.9,81.50,67.15,22.35,36.35,6.83,,,,,,,,,,,,,,,,,,,,
AR-004,Run,RunM,No,Non-elite,Rn/m,24,Male,Asian,206,,5,4,3,7,"Football, Hockey",55.0,167.50,88.50,167.00,36.75,43.95,25.70,43.20,37.55,26.65,22.20,7.60,6.17,6.60,17.5,7.1,21.3,8.4,79.00,64.73,21.53,35.05,6.39,,,,,,,,,,,,,,,,,,,,
AX-005,Control,ControlM,Yes,NA,X/m,25,Male,White,,,NA,NA,6,6,"Waterpolo, Cycle",102.9,187.75,96.75,185.00,41.75,50.95,28.45,46.70,44.15,32.50,29.80,7.20,6.80,7.05,17.5,7.9,22.4,9.0,91.00,70.43,23.73,40.05,6.93,,,,,,,,,,,,,,,,,,,,
AC-005,Climb,ClimbF,No,Non-elite,Cn/f,42,Female,White,,17,9,4,7.5,11.5,"Walk, Run, Slackline",54.2,162.50,87.00,160.25,34.60,42.45,24.80,42.30,34.35,25.55,23.30,14.10,6.61,6.81,17.0,7.6,21.3,8.7,75.50,62.95,20.65,33.05,6.71,,,,,,,,,,,,,,,,,,,,
AX-006,Control,ControlF,Yes,NA,X/f,23,Female,White,,,NA,NA,5,5,"Cycle, Walk, Gym",53.9,159.50,87.75,153.00,33.45,40.75,22.15,40.00,34.00,26.40,23.65,17.10,6.67,6.84,17.4,7.2,20.8,7.8,71.75,59.50,19.50,31.00,6.76,,,,,,,,,,,,,,,,,,,,
AC-006,Climb,ClimbF,No,Non-elite,Cn/f,24,Female,Asian,,18,3,11,3,14,"Run, Walk, Squash",59.4,160.75,87.25,162.25,35.60,42.75,25.75,42.10,36.45,26.80,24.65,21.30,6.53,6.95,17.8,7.6,23.0,9.2,73.50,62.90,20.80,30.75,6.74,,,,,,,,,,,,,,,,,,,,
AX-007,Control,ControlF,Yes,NA,X/f,20,Female,White,,,NA,NA,5.5,5.5,"Gym, Walk, Yoga",58.8,161.00,90.50,155.00,35.65,42.15,23.10,40.60,34.25,28.60,24.50,22.95,6.52,7.09,16.7,7.3,20.7,7.7,70.50,60.38,19.78,28.35,6.81,,,,,,,,,,,,,,,,,,,,
AX-008,Control,ControlF,Yes,NA,X/f,18,Female,Asian,,,NA,NA,7,7,"Badminton, Frisbee",68.9,168.75,91.25,167.25,37.10,44.15,25.90,44.60,36.00,29.20,25.40,18.90,6.66,7.02,17.5,7.9,23.1,9.1,77.50,65.63,21.03,33.35,6.84,,,,,,,,,,,,,,,,,,,,
AX-009,Control,ControlF,Yes,NA,X/f,22,Female,White,,,NA,NA,4,4,"Swim, Run, Fencing, Walk",62.1,168.00,90.00,168.00,36.15,44.20,25.55,44.00,39.40,27.85,24.85,15.20,7.25,7.11,17.3,7.7,21.1,7.8,78.00,64.30,20.30,33.80,7.18,,,,,,,,,,,,,,,,,,,,
AX-010,Control,ControlM,Yes,NA,X/m,19,Male,White,,,NA,NA,6,6,Gym,87.0,172.50,91.00,170.75,37.55,46.45,27.25,45.60,40.75,28.70,29.50,19.60,7.18,7.26,18.1,8.4,23.2,9.1,81.50,65.00,19.40,35.05,7.22,,,,,,,,,,,,,,,,,,,,
AX-011,Control,ControlF,Yes,NA,X/f,22,Female,Asian,,,NA,NA,0,0,Walk,53.1,155.50,85.50,154.50,35.00,42.00,23.85,41.05,32.30,24.70,23.80,17.10,6.57,6.71,16.3,7.2,22.3,8.3,70.00,61.10,20.05,28.00,6.64,,,,,,,,,,,,,,,,,,,,
AR-005,Run,RunF,No,Non-elite,Rn/f,19,Female,White,419,,2,3.5,2.5,6,Walk,56.1,157.00,85.75,152.50,33.55,41.80,24.10,40.45,34.90,27.65,23.10,17.40,6.11,6.54,16.2,7.3,20.2,7.5,71.25,58.80,18.35,29.45,6.33,,,,,,,,,,,,,,,,,,,,
AX-012,Control,ControlM,Yes,NA,X/m,20,Male,White,,,NA,NA,10,10,Cycle,67.9,188.75,99.50,189.50,41.70,50.70,30.30,50.40,42.25,30.80,25.30,7.00,7.39,8.13,18.7,8.1,24.5,8.8,89.25,73.63,23.23,38.55,7.76,,,,,,,,,,,,,,,,,,,,
AR-006,Run,RunM,No,Non-elite,Rn/m,22,Male,White,371,,8,4,6.5,10.5,"Walk, Cycle, Swim, Row, Rugby",73.2,184.00,95.50,179.25,40.95,49.50,28.80,47.85,40.00,28.30,26.60,6.50,6.92,7.73,18.5,8.5,24.0,9.2,88.50,69.63,21.78,39.00,7.33,,,,,,,,,,,,,,,,,,,,
AX-013,Control,ControlM,Yes,NA,X/m,20,Male,Asian,,,NA,NA,10,10,"Badminton, Climb, Gym",59.9,163.00,83.00,166.75,37.60,45.60,28.10,44.95,36.75,25.85,26.25,10.70,6.29,6.34,16.0,7.5,20.3,7.9,80.00,65.00,20.05,34.40,6.32,,,,,,,,,,,,,,,,,,,,
AR-007,Run,RunF,No,Non-elite,Rn/f,18,Female,White,654,,3,5,7,12,"Walk, Row",66.6,170.50,90.25,165.00,39.95,46.75,26.60,44.25,36.85,30.75,25.25,16.15,7.14,6.95,17.3,7.5,22.8,9.2,80.25,64.08,19.83,33.50,7.05,,,,,,,,,,,,,,,,,,,,
AX-014,Control,ControlM,Yes,NA,X/m,26,Male,Asian,,,NA,NA,0,0,Cycle,86.0,185.50,99.00,189.25,40.40,48.70,29.55,49.70,40.90,29.80,27.15,14.75,6.80,7.28,19.6,8.5,25.3,9.6,86.50,74.18,24.48,37.80,7.04,,,,,,,,,,,,,,,,,,,,
AX-015,Control,ControlM,Yes,NA,X/m,23,Male,White,,,NA,NA,1,1,"Climb, Run, Walk",91.0,189.00,96.50,195.75,45.20,53.20,31.60,52.30,39.90,32.35,27.00,14.75,7.71,8.28,19.8,8.4,24.8,9.0,92.50,77.93,25.63,39.30,8.00,,,,,,,,,,,,,,,,,,,,
AX-016,Control,ControlM,Yes,NA,X/m,21,Male,Asian,,,NA,NA,6.5,6.5,Gym,75.8,175.00,94.00,174.50,37.25,45.35,27.30,45.30,38.65,26.50,29.20,11.20,6.82,7.16,17.8,8.2,23.7,8.9,81.00,67.93,22.63,35.65,6.99,,,,,,,,,,,,,,,,,,,,
AX-017,Control,ControlM,Yes,NA,X/m,23,Male,White,,,NA,NA,7,7,"Row, Gym",73.0,184.25,94.50,188.00,42.10,51.10,30.15,50.45,42.45,30.15,25.85,6.80,8.65,8.29,19.2,8.5,25.3,8.8,89.75,72.78,22.33,38.65,8.47,,,,,,,,,,,,,,,,,,,,
AX-018,Control,ControlF,Yes,NA,X/f,24,Female,Mixed,,,NA,NA,5,5,"Run, Climb, Cycle",56.4,166.00,89.25,164.25,35.45,43.20,26.00,42.60,37.00,26.95,21.40,12.20,6.75,6.62,17.6,8.0,20.2,8.0,76.75,63.63,21.03,33.55,6.69,,,,,,,,,,,,,,,,,,,,
AC-007,Climb,ClimbM,Yes,Elite,Ce/m,20,Male,White,,25,7,15,4,19,Yoga,72.4,176.50,90.50,179.75,40.15,48.35,29.20,48.20,40.90,28.75,28.20,6.20,7.36,7.72,18.3,8.5,22.9,9.0,86.00,69.43,21.23,37.65,7.54,,,,,,,,,,,,,,,,,,,,
AC-008,Climb,ClimbM,Yes,Elite,Ce/m,20,Male,White,,24,8,10,3,13,Cycle,63.4,172.50,92.50,176.25,37.65,45.50,27.40,46.25,38.75,26.80,27.05,10.60,7.33,7.78,18.1,8.1,25.5,8.8,80.00,68.75,22.50,34.50,7.56,,,,,,,,,,,,,,,,,,,,
AX-019,Control,ControlM,Yes,NA,X/m,19,Male,White,,,NA,NA,0,0,NONE,80.4,183.50,99.50,179.50,39.45,47.95,28.40,46.95,39.85,28.40,28.15,12.15,7.34,7.27,18.5,8.8,23.7,9.5,84.00,69.83,22.88,36.05,7.31,,,,,,,,,,,,,,,,,,,,
AX-020,Control,ControlM,Yes,NA,X/m,18,Male,Asian,,,NA,NA,0,0,Walk,61.2,164.50,83.50,173.50,38.30,45.25,27.90,45.90,39.15,26.80,25.60,16.60,6.55,6.78,16.6,7.4,22.3,8.6,81.00,67.18,21.28,35.75,6.67,,,,,,,,,,,,,,,,,,,,
AX-021,Control,ControlM,Yes,NA,X/m,18,Male,White,,,NA,NA,10,10,Row,69.8,174.00,94.00,178.25,37.50,45.10,27.85,46.10,40.05,25.00,27.55,6.95,7.12,7.38,17.7,8.2,23.0,8.9,80.00,69.10,23.00,34.90,7.25,,,,,,,,,,,,,,,,,,,,
AX-022,Control,ControlF,Yes,NA,X/f,27,Female,White,,,NA,NA,4,4,"Squash, Running",54.5,168.00,87.75,161.50,36.70,44.60,25.50,43.10,34.70,26.55,21.85,21.70,6.49,6.87,17.0,7.4,21.1,8.3,80.25,63.40,20.30,35.65,6.68,,,,,,,,,,,,,,,,,,,,
AX-023,Control,ControlF,Yes,NA,X/f,23,Female,Mixed,,,NA,NA,4,4,Dance,55.4,175.00,94.00,173.75,37.75,46.10,26.65,44.75,38.05,29.00,22.00,11.60,6.72,6.89,17.1,6.9,23.6,8.5,81.00,67.85,23.10,34.90,6.81,,,,,,,,,,,,,,,,,,,,
AX-024,Control,ControlM,Yes,NA,X/m,22,Male,White,,,NA,NA,11,11,Row,87.1,183.00,95.75,182.50,40.00,48.15,28.95,48.00,41.70,29.05,29.60,14.95,6.85,7.36,17.5,8.5,23.0,9.3,87.25,70.40,22.40,39.10,7.11,,,,,,,,,,,,,,,,,,,,
AX-025,Control,ControlM,Yes,NA,X/m,21,Male,White,,,NA,NA,14,14,"Row, Squash",74.4,187.00,99.50,191.50,40.75,49.30,30.25,49.85,40.80,28.75,28.40,4.05,7.15,7.10,18.7,8.6,26.0,9.8,87.50,75.35,25.50,38.20,7.13,,,,,,,,,,,,,,,,,,,,
AX-026,Control,ControlF,Yes,NA,X/f,22,Female,White,,,NA,NA,9.5,9.5,"Powerlift, Cycle",58.1,161.50,87.00,157.00,34.95,42.20,24.90,42.00,33.70,28.75,24.60,13.00,6.49,6.54,15.7,7.0,21.9,8.1,74.50,61.65,19.65,32.30,6.52,,,,,,,,,,,,,,,,,,,,
AX-042,Run,RunF,No,Non-elite,Rn/f,23,Female,White,51,,1,3,5,8,"Gym, Pole",60.0,156.50,83.25,154.50,35.65,41.60,24.40,40.35,33.85,26.15,22.45,22.95,6.55,6.28,15.8,6.8,20.9,7.8,73.25,60.33,19.98,31.65,6.42,,,,,,,,,,,,,,,,,,,,
AX-027,Control,ControlF,Yes,NA,X/f,24,Female,White,,,NA,NA,0,0,NONE,66.2,176.50,88.50,171.50,40.85,48.35,27.00,45.25,37.85,28.20,23.65,19.55,6.51,6.77,16.9,6.9,21.9,7.6,88.00,66.83,21.58,39.65,6.64,,,,,,,,,,,,,,,,,,,,
AX-028,Control,ControlM,Yes,NA,X/m,34,Male,White,,,NA,NA,2.5,2.5,"Yoga, Powerlift",78.7,179.00,95.00,173.50,39.00,47.35,27.75,46.60,38.75,27.90,29.45,10.40,7.19,7.38,18.1,8.4,23.3,9.7,84.00,67.38,20.78,36.65,7.29,,,,,,,,,,,,,,,,,,,,
AR-009,Run,RunM,No,Non-elite,Rn/m,22,Male,White,122,,8,7,4,11,"Climb, Row",81.5,172.75,93.25,177.50,36.10,44.30,26.85,45.00,44.60,29.20,28.90,7.15,6.70,6.90,17.7,8.3,23.4,8.7,79.50,66.45,21.45,35.20,6.80,,,,,,,,,,,,,,,,,,,,
AR-010,Run,RunF,No,Non-elite,Rn/f,20,Female,White,200,,10,4,6,10,"Tennis, Gym, Swim",60.2,166.00,85.50,168.00,37.40,44.15,26.05,42.70,37.90,27.30,24.30,12.40,7.01,6.95,16.6,7.2,23.8,8.3,80.50,65.05,22.35,36.35,6.98,,,,,,,,,,,,,,,,,,,,
AR-011,Run,RunF,No,Non-elite,Rn/f,25,Female,White,497,,8,10,4.5,14.5,"Gym, Walk",58.1,165.00,87.25,158.00,35.45,43.10,24.30,41.20,35.15,27.05,23.50,16.75,6.47,6.67,17.2,7.9,21.1,8.5,77.75,61.43,20.23,34.65,6.57,,,,,,,,,,,,,,,,,,,,
AC-009,Climb,ClimbF,No,Non-elite,Cn/f,23,Female,Other,,15.5,1.5,6,2,8,"Run, Ski, Snowboard, Yoga",57.9,170.50,90.00,166.25,37.10,43.35,26.10,44.00,35.80,28.40,23.30,10.45,6.86,7.13,17.5,7.7,22.7,9.0,80.50,65.23,21.23,37.15,7.00,,,,,,,,,,,,,,,,,,,,
AX-029,Control,ControlF,Yes,NA,X/f,29,Female,White,,,NA,NA,4.5,4.5,"Football, Gym",55.3,160.00,86.50,157.50,34.35,41.75,24.15,41.75,35.85,26.50,21.85,16.50,6.36,6.45,16.6,7.3,21.4,8.2,73.50,60.83,19.08,31.75,6.41,,,,,,,,,,,,,,,,,,,,
AC-010,Climb,ClimbF,No,Non-elite,Cn/f,20,Female,White,,13,1,2.5,0.5,3,"Pilates, Gym",57.8,176.50,90.75,172.50,39.30,47.50,26.75,44.80,38.15,30.45,23.25,19.20,7.19,7.11,17.5,7.6,22.2,8.5,85.75,67.18,22.38,38.25,7.15,,,,,,,,,,,,,,,,,,,,
AR-012,Run,RunM,No,Non-elite,Rn/m,24,Male,White,551,,8,2,1.5,3.5,Cycle,69.6,180.00,95.00,185.25,37.05,45.25,28.20,47.80,41.20,29.30,25.20,4.75,7.52,8.28,19.2,8.5,22.9,9.6,85.00,72.03,24.23,39.75,7.90,,,,,,,,,,,,,,,,,,,,
AC-011,Climb,ClimbM,No,Non-elite,Cn/m,19,Male,White,,18.5,3,7,0,7,NONE,74.5,189.00,97.50,188.50,41.95,50.60,28.30,48.55,45.00,29.15,27.80,6.00,7.27,7.91,19.7,4.6,25.1,9.6,91.50,71.75,23.20,40.90,7.59,,,,,,,,,,,,,,,,,,,,
AR-013,Run,RunM,No,Non-elite,Rn/m,19,Male,White,180,,1,1.5,6,7.5,"Gym, Basketball, Tennis, Squash, Netball",76.4,185.00,100.00,187.75,39.70,47.00,29.00,48.70,41.45,27.50,27.45,10.25,7.95,8.17,19.4,8.8,24.6,9.8,85.00,73.15,24.45,38.00,8.06,,,,,,,,,,,,,,,,,,,,
AX-030,Control,ControlF,Yes,NA,X/f,22,Female,White,,,NA,NA,7,7,"Ballet, Tennis, Run, Climb",62.8,170.25,92.25,169.00,36.85,44.55,25.55,43.55,38.40,29.30,23.60,14.25,6.94,7.06,17.3,7.4,21.4,8.6,78.00,65.30,21.75,33.45,7.00,,,,,,,,,,,,,,,,,,,,
AX-031,Control,ControlM,Yes,NA,X/m,26,Male,White,,,NA,NA,3,3,Football,80.9,184.50,98.00,190.00,40.60,49.55,29.85,49.95,40.90,30.75,25.65,9.60,7.30,7.30,18.8,7.8,24.4,9.9,86.50,74.55,24.60,36.95,7.30,,,,,,,,,,,,,,,,,,,,
AX-032,Control,ControlM,Yes,NA,X/m,26,Male,White,,,NA,NA,5,5,"Gym, Cycle",73.7,185.50,100.00,176.00,39.55,48.40,28.35,47.10,37.70,28.55,27.20,14.85,6.92,7.06,18.1,8.2,22.5,9.9,85.50,69.15,22.05,37.10,6.99,,,,,,,,,,,,,,,,,,,,
AX-033,Control,ControlF,Yes,NA,X/f,20,Female,White,,,NA,NA,5,5,"Run, Football, Climb",62.8,169.25,91.50,169.25,36.60,44.35,25.65,44.10,37.00,28.55,23.55,15.70,6.39,6.58,17.0,7.6,22.6,8.8,77.75,66.13,22.03,33.40,6.49,,,,,,,,,,,,,,,,,,,,
AX-034,Control,ControlM,Yes,NA,X/m,21,Male,Asian,,,NA,NA,5,5,Boxing,62.7,175.25,90.75,173.25,38.55,47.40,27.05,46.55,39.70,28.50,26.50,3.90,7.16,7.34,18.6,8.5,23.3,9.4,84.50,66.78,20.23,37.10,7.25,,,,,,,,,,,,,,,,,,,,
AC-012,Climb,ClimbM,No,Non-elite,Cn/m,19,Male,Mixed,,15.5,6,4,4,8,Gymnastics,59.1,178.00,91.25,177.25,40.25,47.55,28.75,47.40,40.50,25.00,24.90,5.05,7.04,7.19,18.5,8.0,23.5,8.8,86.75,68.38,20.98,39.20,7.12,,,,,,,,,,,,,,,,,,,,
AX-035,Control,ControlF,Yes,NA,X/f,24,Female,White,,,NA,NA,2,2,Dance,52.0,165.00,87.50,165.75,38.00,44.75,25.55,42.35,35.60,29.75,21.15,13.45,5.93,5.93,15.0,6.6,22.0,8.0,77.50,65.08,22.73,32.75,5.93,,,,,,,,,,,,,,,,,,,,
AX-036,Control,ControlF,Yes,NA,X/f,24,Female,Other,,,NA,NA,3,3,"Cycle, Pilates",61.5,163.00,86.75,163.75,35.75,43.10,25.60,43.20,35.50,27.75,23.80,20.70,7.10,7.52,17.3,7.4,23.3,8.8,76.25,64.13,20.93,33.15,7.31,,,,,,,,,,,,,,,,,,,,
AR-014,Run,RunM,No,Non-elite,Rn/m,21,Male,White,511,,12,5,3,8,"Tennis, Squash",71.9,182.00,94.00,180.50,41.55,49.45,29.80,48.95,40.30,27.00,27.00,9.80,7.50,8.06,18.9,8.4,23.1,9.8,88.00,70.10,21.15,38.55,7.78,,,,,,,,,,,,,,,,,,,,
AR-015,Run,RunM,No,Non-elite,Rn/m,21,Male,White,371,,1,2,3,5,Football,79.1,198.75,105.00,196.25,43.85,52.20,30.70,50.60,40.10,28.45,26.90,7.25,7.57,7.95,19.1,8.5,27.3,10.1,93.75,78.08,27.48,41.55,7.76,,,,,,,,,,,,,,,,,,,,
AX-037,Control,ControlM,Yes,NA,X/m,22,Male,Asian,,,NA,NA,2,2,Run,52.7,178.00,88.00,182.00,42.40,50.20,30.65,49.50,36.40,24.65,22.65,11.05,7.47,7.41,18.8,7.6,23.0,9.2,90.00,72.80,23.30,39.80,7.44,,,,,,,,,,,,,,,,,,,,
AX-041,Control,ControlM,Yes,NA,X/m,25,Male,White,,,NA,NA,4,4,"Run, Gym",74.4,183.50,98.75,176.75,38.85,47.25,28.55,47.00,40.10,29.55,26.40,15.90,7.21,7.13,17.4,8.2,23.9,9.6,84.75,68.33,21.33,37.50,7.17,,,,,,,,,,,,,,,,,,,,
AX-038,Control,ControlM,Yes,NA,X/m,28,Male,White,,,NA,NA,7,7,"Row, Run, Cycle",70.0,181.00,94.00,177.25,41.55,49.20,28.65,47.35,39.40,31.60,25.50,8.30,6.77,7.26,18.1,7.9,22.7,8.9,87.00,68.93,21.58,37.80,7.02,,,,,,,,,,,,,,,,,,,,
AX-039,Control,ControlF,Yes,NA,X/f,24,Female,White,,,NA,NA,12,12,"Netball, Volleyball",68.0,179.25,95.00,175.00,38.60,46.20,26.90,45.85,39.40,30.00,23.60,17.00,6.71,6.99,17.7,7.5,23.5,8.5,84.25,67.80,21.95,38.05,6.85,,,,,,,,,,,,,,,,,,,,
AR-016,Run,RunF,No,Non-elite,Rn/f,25,Female,White,573,,15,6,4,10,Cycle,52.0,171.25,89.50,169.25,38.90,46.00,26.50,44.55,35.70,29.00,21.25,10.25,6.80,6.93,16.4,7.1,22.7,8.6,81.75,66.78,22.23,35.75,6.87,,,,,,,,,,,,,,,,,,,,
AC-013,Climb,ClimbF,Yes,Elite,Ce/f,25,Female,White,,21.5,3,8,10,18,"Cycle, Row, Run",61.6,166.50,89.25,165.50,36.10,43.60,25.30,42.20,37.25,26.45,26.10,14.25,6.35,6.48,15.8,7.3,21.5,8.8,77.25,64.13,21.93,33.65,6.42,,,,,,,,,,,,,,,,,,,,
AR-017,Run,RunF,No,Non-elite,Rn/f,61,Female,White,358,,25,9,5,14,"Cycle, Gym, Swim",52.0,170.50,88.50,168.75,37.85,45.50,26.75,45.70,36.55,28.20,23.40,6.95,6.31,6.99,17.6,8.0,21.9,8.5,82.00,66.10,20.40,36.50,6.65,,,,,,,,,,,,,,,,,,,,
AR-018,Run,RunF,No,Non-elite,Rn/f,46,Female,White,324,,16,5,2,7,"Cycle, Swim, Yoga, Gym",58.7,165.50,88.00,164.50,37.05,44.05,26.30,44.50,35.65,28.35,23.55,17.80,6.27,6.56,16.3,6.6,23.1,8.4,77.50,64.43,19.93,33.45,6.42,,,,,,,,,,,,,,,,,,,,
AR-019,Run,RunM,No,Non-elite,Rn/m,48,Male,White,217,,10,2,2,4,"Cycle, Football",80.2,186.75,99.50,190.50,41.80,50.80,29.65,50.35,41.40,30.90,27.50,5.75,7.91,8.24,20.7,8.7,24.7,10.3,87.25,74.55,24.20,36.45,8.08,,,,,,,,,,,,,,,,,,,,
AR-020,Run,RunF,No,Non-elite,Rn/f,35,Female,Asian,336,,3,2,5,7,Gym,57.5,167.25,89.00,166.75,36.35,43.20,25.95,44.40,36.85,25.60,22.45,15.90,7.13,7.46,18.0,7.5,20.3,8.2,78.25,64.95,20.55,35.05,7.30,,,,,,,,,,,,,,,,,,,,
AR-021,Run,RunF,No,Non-elite,Rn/f,56,Female,White,575,,45,6,4.5,10.5,Cycle,62.8,168.25,89.25,168.00,36.10,43.85,27.60,46.00,35.10,28.00,23.45,16.35,7.35,7.36,17.2,7.4,21.0,8.0,79.00,66.45,20.45,35.15,7.36,,,,,,,,,,,,,,,,,,,,
AR-022,Run,RunM,No,Non-elite,Rn/m,20,Male,Asian,212,,5,5,5,10,Gym,65.3,173.50,93.00,174.25,37.15,45.65,27.25,46.10,39.60,28.20,25.30,7.85,7.15,7.46,18.3,8.0,22.6,8.5,80.50,67.33,21.23,34.85,7.31,,,,,,,,,,,,,,,,,,,,
AR-024,Run,RunM,No,Non-elite,Rn/m,20,Male,White,127,,2,1.5,2,3.5,Football,80.6,180.50,94.00,179.50,40.50,47.75,29.45,48.05,40.55,27.85,27.35,16.00,7.19,7.60,18.2,8.4,24.8,9.4,86.50,69.48,21.43,38.75,7.40,,,,,,,,,,,,,,,,,,,,
AR-025,Run,RunM,No,Non-elite,Rn/m,57,Male,White,123,,4,4,0,4,NONE,81.1,177.25,94.25,176.75,38.20,46.10,27.50,46.75,38.75,29.50,27.50,12.20,6.71,7.62,18.2,8.3,23.6,9.6,83.00,69.00,22.25,36.90,7.17,,,,,,,,,,,,,,,,,,,,
AR-026,Run,RunM,No,Non-elite,Rn/m,18,Male,White,8,,4,3,8,11,"Basketball, Row, Powerlift, Tabletennis",88.6,187.00,99.25,184.25,41.75,50.05,29.60,49.20,41.20,29.45,30.75,10.90,7.11,7.89,19.5,8.8,25.1,9.5,87.75,71.53,22.33,37.70,7.50,,,,,,,,,,,,,,,,,,,,
AR-027,Run,RunM,No,Non-elite,Rn/m,48,Male,White,106,,26,3,2,5,"Gym, Football",76.9,178.75,90.75,179.25,40.80,49.25,27.75,47.30,41.00,30.45,26.65,16.55,7.62,8.02,18.5,8.1,23.6,9.4,88.00,69.13,21.83,38.75,7.82,,,,,,,,,,,,,,,,,,,,
AR-028,Run,RunM,No,Non-elite,Rn/m,30,Male,White,134,,6,3,2,5,Hockey,70.8,179.50,95.00,181.25,39.90,47.90,28.75,48.20,41.75,28.90,25.80,8.30,7.50,7.66,19.0,7.9,25.4,8.3,84.50,69.75,21.55,36.60,7.58,,,,,,,,,,,,,,,,,,,,
AR-029,Run,RunM,No,Non-elite,Rn/m,60,Male,White,7,,27,8,4.5,12.5,"Cycle, Cricket, Swim",90.4,182.75,93.75,187.75,40.75,49.25,29.15,49.60,42.70,33.25,27.70,11.45,7.73,7.90,19.1,8.8,25.3,9.9,89.00,72.53,22.93,39.75,7.82,,,,,,,,,,,,,,,,,,,,
